ID,Status,Type,Subtype,Requirement,Rationale,Source,Locator,Comment
SR01,covered,FR,-,An NLP4RE tool should provide an evaluation interface.,"Benchmarking ensures that evaluation results are complete, comparable, and reproducible across studies [1].","💬 AIRE Activity, 📜 Literature","FR ""evaluation interface""; [4]","Good proposal connected to a ""benchmark integration"".
See Table 16 in [4]"
SR02,covered,NFR,Usability,An NLP4RE tool should be able to consume input artifacts in various data formats.,Supporting multiple input formats increases usability and allows integration with diverse RE data sources.,"💬 AIRE Activity, 📜 Literature","FR ""support for multiple elicitation sources""",
SR03,covered,NFR,Compatibility,An NLP4RE tool should be able to process a specific type of software artifact.,Handling specific artifact types enables tailored NLP processing aligned with RE task requirements.,"💬 AIRE Activity, 🧭 Ontologies","DC ""user stories""; [3]; [4]; [5]","I assume that ""elicitation source"" = input requirement. This might be a req for the RA rather than the system.
According to [3]: requirement specification; user-generated text; general NL documents; use cases; legal & policy; user story; domain document; other structured text; business process model; interview script; scenario; other model; code; UML diagram
According to [4]: requirement specification; regulatory/legal artifacts; issues and user feedback; models and ontologies; technical documents and manuals; specific quality requirements; user stories and agile requirements; elicitation documents; others
"
SR04,covered,FR,-,An NLP4RE tool should be configurable to different languages.,Multilingual configuration allows the tool to address RE tasks across linguistic contexts.,💬 AIRE Activity,"FR ""support for different languages""; GenAI ""language barrier""","This is an interesting proposal that we have not considered yet: most NLP4RE tools are contrained to a single (mostly the English) language, but an RA could make the language a parameter by default."
SR05,covered,FR,-,An NLP4RE tool should be able to handle artifacts written in a specific set of languages simultaneously.,Supporting multiple languages simultaneously enables cross-lingual RE analysis and collaboration.,💬 AIRE Activity,"FR ""support for different languages""; GenAI ""language barrier""",
SR06,covered,FR,-,All major intermediate steps within the processing pipeline of an NLP4RE tool should be transparent and human-understandable.,"Transparency in intermediate processing fosters interpretability, debugging, and user trust.",💬 AIRE Activity,"FR ""logging, I/O save for each step""",Another very interesting proposal that ensures transparency
SR07,covered,FR,-,An NLP4RE tool should provide a black-box interface.,A black-box interface facilitates tool reuse and integration into broader RE workflows.,💬 AIRE Activity,"FR ""black-box interface""",Needs to be complemented with other types of user interfaces
SR08,candidate,NFR,Reliability,An NLP4RE tool should comply with all applicable legal and regulatory frameworks when processing requirements data.,Legal and regulatory compliance ensures responsible handling of requirements data in research and industry contexts.,💬 AIRE Activity,"NFR ""legal compliance""",Future work?
SR09,covered,NFR,Security,"An NLP4RE tool should protect personal and sensitive data during storage, processing, and transfer.",Protecting sensitive and personal data preserves privacy and builds user confidence in the tool.,💬 AIRE Activity,"NFR ""data protection""; GenAI ""privacy & security""","Maybe we can make this user-oriented, or stakeholder-oriented?
QM check security-related software architecture requirements"
SR10,covered,NFR,Maintainability,An NLP4RE tool should be maintainable and evolvable.,Long-term maintainability avoids tool obsolescence and promotes continuous reuse and improvement [2].,"💬 AIRE Activity, 📜 Literature","NFR ""modularity""; [2]","I was thinking we could go beyond this and suggest directly ""microservice"" as components under a unified JSON schema; but I think these would be architectural requirements."
SR11,covered,NFR,Portability,An NLP4RE tool should make its components reusable to other tools.,Component reusability mitigates redundant development and supports cumulative research progress [1].,💬 AIRE Activity,"NFR ""modularity""",Stemmed after discussion from SR10
SR12,system-only,NFR,Reliability,An NLP4RE tool should remain operational and stable under unexpected input or workload variations.,Robustness to unexpected inputs or workloads ensures reliability in diverse RE environments.,💬 AIRE Activity,"NFR ""robustness""",This might be like way too generic. How to customize (if needed)?
SR13,covered,NFR,Usability,An NLP4RE tool should provide human-understandable explanations for its outputs and decisions.,Human-understandable explanations enhance transparency and trust in automated RE analyses.,💬 AIRE Activity,"NFR ""explainability""; GenAI ""non-deterministic""
","human-understandable vs. natural language ?
Idea to focus on explainability of modules/components from an input/output (connection perspective)"
SR14,system-only,NFR,Availability,An NLP4RE tool should recover (autonomously) from crashes or system failures without data loss.,Autonomous recovery from failures preserves system continuity and prevents data loss.,💬 AIRE Activity,"NFR ""recovery""",See the (autonomously)
SR15,covered,NFR,Availability,An NLP4RE tool should ensure the durability and long-term availability of stored artifacts and analysis results.,Ensuring data durability and availability enables reproducibility and sustained research use.,💬 AIRE Activity,"NFR ""robustness""","Persistence of input/output of intermediate steps (black-box design).
Focus on internal robustness.
Module X with input Y produced output Z with explanations W."
SR16,system-only,NFR,Security,An NLP4RE tool should safeguard all data and operations against unauthorized access or tampering.,Securing data and operations prevents unauthorized manipulation and ensures integrity.,💬 AIRE Activity,"NFR ""security""",
SR17,system-only,NFR,Reliability,An NLP4RE tool should guarantee that identical inputs always yield identical/similar outputs when conditions are fixed.,Reproducible outputs under identical conditions support scientific rigor and reliability.,💬 AIRE Activity,"NFR ""reproducibility""","See identical/similar, this cannot be identical under ML/DL and generative systems"
SR18,covered,NFR,Maintainability,An NLP4RE tool should keep track of every released version of the tool and its configuration.,Version tracking of the tool and configurations promotes reproducibility and maintainability.,💬 AIRE Activity,"NFR ""version control (tool)""",Reference NLP4RE ID Card. Extend particularly with architecture/development aspects.
SR19,system-only,NFR,Maintainability,An NLP4RE tool should maintain fine-grained version control of evolving requirements artifacts that it processes.,Version control of evolving requirements artifacts supports change management and traceability.,💬 AIRE Activity,"NFR ""version control (requirements)""",
SR20,system-only,NFR,Performance,An NLP4RE tool should meet the latency constraints required by interactive or real-time RE activities.,Meeting domain-specific latency constraints ensures smooth user interaction during RE activities.,💬 AIRE Activity,"NFR ""latency""",Here the requirement is slightly customized
