ID,Type,Requirement,Rationale,Source,Domain Concepts,Comment
AR1,NFR,"The reference architecture of NLP4RE tools shall prescribe a common architecture consisting of standalone, reusable modules with a black-box interface.","A modular architecture with standalone, reusable components and black-box interfaces promotes maintainability, interoperability, and reuse across NLP4RE tools.","SR10, SR11, SR07, SR33",Module,
AR1.1,FR,The reference architecture shall contain an input module that consumes software artifacts in various data formats and produces an output for a pre-processing module.,An input module capable of handling diverse data formats enables flexibility and integration with multiple RE data sources.,"SR10, SR11, SR07",Input Consumer,
AR1.2,FR,"The reference architecture shall contain a pre-processing module that consumes the output of an input module, pre-processes the input software artifacts, and produces an output for a processing module.","A pre-processing module standardizes and cleans input artifacts, ensuring that subsequent processing stages operate on consistent, structured data.","SR10, SR11, SR07",Pre-Processor,"The reference architecture shall contain a [MODULE NAME] module that consumes the output of an [INPUT MODULE], [ACTION] the [INPUT MODULE], and produces an output for a [OUTPUT MODULE]."
AR1.3,FR,"The reference architecture shall contain a processing module that consumes the output of a pre-processing module, processes the pre-processed input, and produces an output for a post-processing module.","A dedicated processing module encapsulates the core NLP functionality, enabling clear separation of concerns and focused algorithmic development.","SR10, SR11, SR07",Processor,
AR1.4,FR,"The reference architecture shall contain a post-processing module that consumes the output of a processing module, post-processes the processed input, and produces an output for an output module.",A post-processing module transforms and refines processed outputs to ensure they are interpretable and suitable for presentation or evaluation.,"SR10, SR11, SR07",Post-Processor,
AR1.4.1,FR,The post-processing module shall provide an interface to a evaluation system.,"Providing an evaluation interface supports benchmarking, comparability, and reproducibility of tool performance.",SR01,Benchmark,
AR1.5,FR,"The reference architecture shall contain a output module that consumes the output of a post-processing module, formats this artifact, and visualizes them in a user interface.",An output module that formats and visualizes results improves usability and facilitates interpretation by end users.,"SR10, SR11, SR07, SR36",Output Producer,
AR1.6,FR,"Every module in the RA should preserve every execution (consisting of the input, output, and all auxiliary information) in a secure manner.","Securely storing all executions, including inputs, outputs, and metadata, ensures data integrity, reproducibility, and compliance with privacy requirements.","SR15, SR09",Storage System,
AR2,NFR,The reference architecture of NLP4RE tools shall enforce that every high-level component of a tool explains the syntax and limitations to its input (including the language of NL-based artifacts) and output (including bias of generative models).,"Explicitly documenting input and output syntax, limitations, and potential biases enhances transparency, trust, and responsible model use.","SR21, SR22, SR25, SR05",Module::io_syntax_limitations,SR5 -> documenting language limitations
AR3,FR,The reference architecture of NLP4RE tools shall enforce that both the overall tool and all of its high-level components explain the output and its relationship to the input.,"Linking each output to its corresponding input improves interpretability, validation, and traceability throughout RE analyses.","SR06, SR37, SR13",Product::confidence; Product::explanation,
AR4,FR,The reference architecture of NLP4RE tools should facilitate the consumption and production of different data formats of input and output artifact.,Supporting multiple input and output data formats ensures interoperability and integration with diverse tools and workflows.,"SR02, SR38",Input Artifact; Product,
AR5,FR,The RA should enforce that the accepted language of the input artifacts is a configurable parameter.,Configurable language parameters enable multilingual applicability and adaptability across RE contexts.,SR04,Language,
AR6,NFR,The RA should enforce that any tool is documented according to a common standard.,"Standardized documentation ensures consistent understanding, maintenance, and evolution of NLP4RE tools.",SR32,Documentation; NLP4RE ID Card,Check tool / module
AR6.1,NFR,The documentation of a tool should uniquely identify its version and the version of all the modules it uses.,Including version identifiers for both the tool and its modules supports reproducibility and controlled evolution.,SR18,Tool Version; Module::version,Make clear that this is only one important aspect
AR6.2,NFR,"The documentation of a tool should specify a unique name and contain a comprehensive tool description covering the NLP techniques, NLP task, and RE task, as well as the input and output artifacts it processes.","Comprehensive documentation describing the tool’s name, purpose, NLP and RE tasks, and processed artifacts ensures clarity and comparability across implementations.","SR29, SR32",Tool; Documentation; Name; Description; NLP Technology; NLP Task; RE Task,
AR6.3,NFR,The documentation of a tool or module specifies all dependencies and their versions.,Listing all dependencies and their versions prevents incompatibilities and facilitates long-term maintainability.,SR33,Dependency,
AR7,NFR,The reference architecture shall encourage that all source material of a tool are available long-term online and under an open-source license.,"Releasing source materials online under open-source licenses ensures accessibility, long-term preservation, and collaborative advancement of NLP4RE tools.","SR30, SR31",Source Code; License,
